上海大众公用事业(集团)股份有限公司,AAA 展望:稳定,中诚信证券评估有限公司,香港中央结算(代理人)有限公司(持股18.07%),燃气,其他企业,4/10,产业,有一定竞争优势、规模一般产业公司；对不利经济环境有一定抵抗力,,燃气,长期来看，国内LNG需求将会持续增加，尤其是大中城市天然气供应持续向好；但受限于国内资源以及管网分布的制约，国内天然气利用水平仍有待提高；天然气供应定价受政府限制，行业前期投资规模较大，后续投资回收期较长，民营参与仍需谨慎。,公司为典型的公众企业，A股和H股上市公司，大众公用（600635.SH、1635.HK、港股通/1635.HKS)；上海大众企业管理有限公司持股比例18.02%；实际控制人为上海大众企业管理有限公司职工持股会。,公司经营上海部分地区以及上海周边城市的燃气供应、污水处理、公用交通等业务，对部分市政项目建设、金融创投等进行投资。公司持有大众燃气50%股权，间接持有南通大众50%股权，间接持有大众交通（股票代码：600611）19.82%股权，主要并表业务持股比例不高；持有苏创燃气（股票代码 1430.HK）股权19.76%，权益计价。整体下属子公司经营正常，但金融创投业务仍存在一定的风险。,资产规模一般，资产流动性偏弱；公用事业盈利偏弱，公司利润主要来自投资收益；近年公司债务融资进行股权收购扩展业务规模，财务杠杆水平提升；整体财务杠杆水平尚可，但负债结构偏短，具有一定的流动性压力。,盈利波动、流动性压力、子公司股权比例不高
中国水利水电第十一工程局有限公司,AA+ 展望:稳定,中诚信国际信用评级有限责任公司,中国电力建设股份有限公司(持股100%),建筑与工程,中央国有企业,4/10,产业,-,,建筑工程,-,-,-,-,-
中牧实业股份有限公司,AA+ 展望:稳定,中证鹏元资信评估股份有限公司,中国牧工商集团有限公司(持股49.91%),生物科技,中央国有企业,4/10,产业,-,,动物保健,-,-,-,-,-
广东省航运集团有限公司,AA+ 展望:稳定,联合资信评估有限公司,广东省人民政府(持股100%),海运,地方国有企业,4/10,产业,广东省人民政府旗下航运板块，规模不大，但经营和财务较为稳定。,,航空运输,客货运输、港口物流，粤港澳区域内整体需求较为稳定，周期性不强。,公司实际控制人为广东省政府，能够获得较强外部支持。,公司业务在珠三角地区航运市场具有突出地位，在区域内具有一定的垄断性和排他性，物流网络具有很强的竞争优势，近年收入保持相对稳定。此外，公司近年参与政府基础性、公益性项目建设，主导了北江航道阔能升级项目，促进了港口航运上下游业务发展，进一步增强了主营业务竞争力。,公司整体负债水平尚可，且存在较多成本法入账资产，升值潜力较大；公司近年盈利小幅增长，获现能力较好，整体偿债压力不大，风险可控。,远洋运输业务、船舶板块。
兖矿集团有限公司,AAA 展望:稳定,东方金诚国际信用评估有限公司,山东省人民政府国有资产监督管理委员会(持股70%),煤炭与消费用燃料,地方国有企业,4/10,产业,山东省最大的煤炭集团，运距及规模优势较强，随着供给侧改革推进，业绩好转。,,煤炭开采,煤炭行业，强周期行业，虽然经过供给侧改革，产能过剩的情况并未根本扭转。,公司控股股东及实际控制人均为山东省国资委，公司规模大，社会影响大，能够获得较强的外部支持。,公司为山东大型煤企，行业地位比较突出，兖矿集团优质资产集中在上市公司兖煤股份，持有上市公司52.93%的股份。受行业景气度与产能过剩影响，公司近年业绩波动较大，供给侧改革拉动煤价上涨，业绩好转。关注业绩稳定性及持续性,截止2019年3月末，负债率69.07%，负债结构较合理，长期债务占比较大，货币资金对短期债务覆盖程度尚可。公司近年现金流表现较好，长期偿债能力较稳定。,煤价波动
武汉市水务集团有限公司,AA+ 展望:稳定,上海新世纪资信评估投资服务有限公司,武汉市城市建设投资开发集团有限公司(持股100%),水务,地方国有企业,4/10,产业,公司是武汉市供排水和污水处理龙头企业集团，典型公用事业平台，盈利差但可获得政府支持。,,水务,供水和污水处理业务为典型公用事业行业，盈利一般，投资回收期长，但可获得稳定的政府支持。,公司是武汉市供排水和污水处理龙头企业集团，实际控制人为武汉市国资委。,目前除武钢自建给排水之外，武汉主城区的供水均由公司负责，规模优势和区域垄断优势明显，截至2018年末，公司供水能力为395万吨/日，日污水处理能力206万吨，公司供水和污水处理量占武汉市区比例很高。公司另有施工和房地产业务，但施工业务对盈利贡献很小，房地产业务目前仅一个项目在售，持续性不佳。,财务方面，近年公司盈利能力增强，收入和利润规模提升，且每年可获得一定的营业外收入（补贴）。公司近年受污水处理费拨付进度的影响经营净现金流入波动较大。公司资产负债率持续在70%左右，财务杠杆较高，现金流表现不佳，存在流动性压力。公司供水业务的核心运营主体之一为武汉控股，系A股上市公司，股份未质押，能为公司融资提供一定财务弹性。,流动性压力、补贴政策
湖北省联合发展投资集团有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,湖北省联投控股有限公司(持股34.04%),综合类行业,地方国有企业,4/10,产业,公司为湖北省重要的国有投资控股平台，股东背景强，但财务压力较大，且存在对子公司的控制问题，整体资质较好。,,建筑工程,综合投资性企业有利于抵御单一行业波动的风险，但多板块管理难度较大，板块整合协同效应难以发挥；受中国经济增速放缓、产业结构调整、供给侧改革、环保压力不断提升等影响，周期性行业长期投资仍需谨慎。,湖北省联投控股有限公司为公司控股股东，持股比例为34.04%，湖北省国资委为公司的实际控制人。,公司服务于武汉城市圈“两型”社会开发建设，省政府划多项股权和资产，系东湖高新（600133.SH）第一大股东；产业较为多元化，涉及路桥工程、房地产、园区和城镇化建设、委贷担保等，近年来地产领域是发展重点；科技园区的开发、销售出租及管理服务是公司的传统业务，具有一定城投属性，但市场化运作较强，存在建设资金压力。,但目前主营业务盈利能力很弱，而高速和城镇化业务投资体量大，债务规模不断攀升，永续债调整后的负债率接近80%（18年9月末78.98%）；存在一定债务压力。,政府支持、债务压力
华数数字电视传媒集团有限公司,AAA 展望:稳定,上海新世纪资信评估投资服务有限公司,浙江易通数字电视投资有限公司(持股25.1%),有线和卫星电视,地方国有企业,4/10,产业,上市公司华数传媒大股东，杭州市地方国企，经营稳健，债务压力不大,,文化传媒,有线数字电视行业具有区域垄断性，行业受到移动、联通、电信等网络运营商的冲击。,控股股东为杭州昆石投资管理有限公司，实际控制人为杭州市财政局。拥有上市公司华数传媒。,"公司子公司浙江华数收购10家地方广电公司；未来完成浙江省“一省一网”整合工作后，全省有线电视用户将达1,300万户，具有区域垄断地位，但省内用户市场趋于饱和，新增用户受限，受此影响业务增长也将受限且受移动运营商的竞争越来越强。",财务稳健性较好：公司受益于省内并购，规模与业绩不断提升，财务杠杆水平较好。,业绩增长、区域并购管理、移动运营商竞争
中国铁建房地产集团有限公司,AAA 展望:稳定,中诚信证券评估有限公司,中国铁建股份有限公司(持股100%),房地产开发,中央国有企业,4/10,产业,公司是铁建集团背景的建筑施工、房地产开发企业，股东背景很强，风险可控。,,房地产开发,房地产行业调控政策不断加码，融资趋紧，销量出现下调。,公司为中铁建集团房地产板块的核心平台，股东实力雄厚，可获得股东方的必要支持。,中铁建集团为国内两家铁路工程建设主体之一，也是首批确认的16家房地产央企之一，公司以住宅业务为主，可优先运营中国铁建旗下地产项目，区域布局良好，土地储备丰厚。2017年、2018年公司放缓了拿地节奏，但之前拿地较多，土地储备较充足。,公司债务规模较大，负债率较高 ，18年9月末资产负债率为85%，有息债务压力较大。18年9月末预收款项大幅增长，显示房屋销量的增加。公司近年经营活动净现金流情况不佳，对利息的覆盖度较低，财务上仍处于扩张阶段，不够稳健。,房地产市场降温，对在建项目去化的影响。
珠海金融投资控股集团有限公司,AA+ 展望:稳定,联合信用评级有限公司,珠海华发集团有限公司(持股52.53%),资产管理与托管银行,地方国有企业,4/10,产业,珠海国资委下属金控企业，金融牌照涉及证券、期货、银行等，信用资质较好。,,多元金融,宏观经济增速放缓、行业竞争加剧且金融监管形势趋严对金融行业带来了较大的压力。粤港澳的区位优势和横琴自贸区先行先试的政策优势为公司发展创造了较好的发展条件。,国企非上市公司，珠海华发集团有限公司、珠海华发综合发展有限公司、珠海市免税企业集团有限公司、珠海格力集团有限公司、珠海公交巴士有限公司分别持有共工氏48.81%、42.26%、6.4%、1.46%、1.07%的股份，珠海市国资委系公司实际控制人。,公司目前拥有证券、银行、期货、保险、担保、融资租赁等拍照。证券方面，公司持有华金证券71.45%的股份。银行业务板块中，公司投资涉及的企业主要包括珠海华发集团财务有限公司、珠海华润银行股份有限公司和珠海南屏村镇银行股份有限公司三家公司。公司于2014年通过旗下珠海铧创全资收购华金期货有限公司。截至2018年末，珠海金控持有华金期货100.00%股权。,公司经营状况较好，近年均能实现较稳定的收入和利润，非筹资现金流基本平衡，债务率较低（18年9月末44.54%）。截止2018年9月底，母公司有息债务47.37亿元，绝对水平不高，母公司债务的安全性较好。,金融监管；经济下行的资产质量问题等。
海宁中国皮革城股份有限公司,AA+ 展望:稳定,上海新世纪资信评估投资服务有限公司,海宁市资产经营公司(持股33.13%),房地产经营公司,地方国有企业,4/10,产业,公司是海宁市政府实控的上市公司，股东背景较好，近年业务稳步增长，负债率低，财务结构较稳定。,,房地产开发,公司所在行业属于商业地产中的皮革市场物业运营，受到皮革消费市场整体景气度的影响，同时受各个商场商铺所在位置的影响；近年国内皮革销量、出口量逐步趋于稳定，增速趋于放缓。,公司为上市公司，大股东是海宁市资产经营公司（33.13%），实际控制人为海宁市政府，股东背景较好。,海宁皮革城是国内较知名的商业品牌，公司的皮革市场租售业务已从海宁拓展到多个城市，业务规模逐步扩大；截至2018年6月末，公司在营的11个皮革市场可出租面积218.62万平方米，2017年租金收入10.66亿元，除新开业的市场外，其他市场均保持较高的出租率。,公司目前负债率不高（18年9月末37%），经营性现金流持续净流入，整体现金流平衡情况较好，财务结构较稳定。,重点关注皮革市场整体景气度的变化。
中国建筑第二工程局有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,中国建筑股份有限公司(持股100%),建筑与工程,中央国有企业,4/10,产业,央企中国建筑全资控股的建筑施工平台，主营房建业务。,,建筑工程,房建行业竞争激烈，垫资经营现象较为普遍。,大型施工类央企中国建筑全资控股。,公司主营房建业务，项目承揽能力尚可，订单充沛，2018年新签订单规模2400亿元。,公司维持较高的杠杆水平，19年3月末资产负债率高达82.41%，但整体有息债务负担尚可，盈利情况稳定。,债务周转，项目回款。
厦门钨业股份有限公司,AA+ 展望:稳定,联合资信评估有限公司,福建省稀有稀土(集团)有限公司(持股31.88%),金属非金属,地方国有企业,4/10,产业,国内六大稀土企业之一，钨行业龙头，近年来受益产品价格上升，业绩改善。,,稀有金属,公司主业所在的钼、钨等有色金属行业价格稳定性差，易受国际市场等外部环境影响；稀土行业下游需求继续增长， 但整体产能过剩，价格持续低位。,公司是国务院、工信部确定的全国六大稀土企业集团组建单位之一，是福建省稀土资源整合平台企业；外部支持能力很强；,公司是国内钨行业龙头企业，拥有完整产业链，行业地位突出；同时是国内六大稀土集团之一；钨钼板块是收入和利润主要来源，2016年以来，钨钼行业景气度有所企稳，价格有所回升，公司钨钼业务板块盈利能力有所提升；稀土板块资源保障能力很强，2016年公司钕铁硼磁性材料和荧光材料产量分别为1541吨和683吨，同比分别增长17.10%和20.46%，2017年以来该业务产能利用率逐渐提升，业绩有望好转；电池材料板块盈利能力偏弱，不过随着新建锂电池材料产能的逐步释放，规模效应正逐步体现。2017年盈利改善明显，实现净利润9.34亿，周期性好转可期。,公司盈利受制于有色金属价格的波动，稳定性较差。2016年以来受益于产品价格的上升，盈利能力有所好转；公司至2018年9月末总债务持续增加至104亿，短期为90.8亿。未来短期内偿债压力不大，但长期需关注产品价格的变动情况。,产品价格变化情况；
安琪酵母股份有限公司,AA+ 展望:稳定,上海新世纪资信评估投资服务有限公司,湖北安琪生物集团有限公司(持股39.98%),食品加工与肉类,地方国有企业,4/10,产业,宜昌市国资委下属上市公司，在酵母行业具有很强的竞争力。公司整体经营稳定，有一定短期周转压力。,,,酵母行业的进入壁垒和集中度均较高，行业内龙头企业的竞争优势渐趋强化。80%的产能被控制在乐斯福（LESAFFRE）、英联马利（ABMAURI）和安琪酵母这三家企业手中，其中安琪酵母拥有国内酵母产能的约50%。,公司是宜昌市国资委实际控制的上市公司，控股比例为40%。,公司行业地位稳固，业务规模稳步扩张。产能利用率和产品产销率均保持在较好水平。公司酵母产品国内市场占有率达50%，整体规模优势和市场地位突出。公司主要原材料为糖蜜，成本占比约40%，绝大部分为外购，在广西、新疆等糖的主产区有稳定的糖蜜供应源，且公司与中粮集团有限公司等供应商签订了长期战略合作协议。国内糖蜜除了用于酵母生产使用外，绝大部分使用于酒精领域，由于需求方众多，公司议价能力总体一般；公司产品主要包括“安琪（酵母）”和“安琪纽特（保健品）”两个品牌，具备一定的品牌知名度，产品销售实行统一定价、统一对外销售的模式，销售稳定。,受益于经营规模扩张，公司营业收入和毛利率稳步增长，毛利率稳定在36%左右，盈利能力较好；公司EBITDA逐年稳步提升至15亿元。尽管公司存货规模相对较多占用了较多资金，但整体资产运营效率尚可，大部分利润都能及时转化为现金利润。18年末公司总债务29亿元，偿债压力较轻。不过公司债务以短期为主，而公司账面现金储备不足，有一定流动性周转压力。,现金储备偏少；存货占用资金较多；原材料价格波动风险；
国电云南电力有限公司,-,-,中国国电集团有限公司(持股100%),电力,中央国有企业,4/10,产业,-,,,-,-,-,-,-
深圳市创新投资集团有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,深圳市人民政府国有资产监督管理委员会(持股28.2%),多领域控股,地方国有企业,4/10,产业,深圳国资委下属创投公司，历史投资业绩较好，但稳定性欠佳,,多元金融,创投行业的进入壁垒较低，项目的投资收益受项目本身资质、资本市场发展状态等因素影响较大，经营稳定性较为一般。,公司实际控制人为深圳市国资委，外部支持能力较强。,公司主营业务为创业投资，综合竞争实力在行业中排名靠前，具有完善的投资管理体系和风控体系，已经有较多的项目成功退出并获得良好投资收益。公司的利润来源于基金管理费收入和投资收益，管理费收入规模较小（约1亿多），投资收益占比较大（年均接近20亿）。未来公司有望保持良好的的收益状况，但是也会受项目退出和资本市场影响而产生波动。总体来看，公司经营情况较为稳定。,公司资产负债率较低，但是资产以非流动资产为主，而负债以短期借款为主，虽然公司持有的已上市公司股权和投资产品的流动性较好，但是还是存在一定的负债与资产久期错配的情况。,公司投资项目退出情况；金融监管政策对行业生态的影响。
中原出版传媒投资控股集团有限公司,AA+ 展望:稳定,上海新世纪资信评估投资服务有限公司,河南省人民政府(持股100%),出版,地方国有企业,4/10,产业,-,,文化传媒,-,-,-,-,-
陕西投资集团有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,陕西省国有资产监督管理委员会(持股100%),综合类行业,地方国有企业,4/10,产业,陕西省国资委全资控股，旗下控股西部证券等金融企业，拥有省内优质资源，电力、煤炭等板块有区域优势，股东背景强，整体资产质量较好，但电力、地产、航空等板块投资规模较大，需关注资金压力。,,综合,综合投资类企业，但过剩产能板块占比较大，周期属性强，面临产能过剩困境。,陕西省直属企业；近年陕西省国资委对陕燃气和陕能源进行了重组，公司规模扩大，业务多元化。,目前收入板块多元化，贸易、金融证券、化工、电力、煤炭、房地产与酒店等；贸易以煤炭产品为主，业务规模大，但收益不高；金融业务主要来自西部证券和西部信托；子公司金泰氯碱烧碱产能为20万吨/年，PVC产能为25万吨/年；电力包括火电、水电、光伏，总可控装机容易232万千瓦，且仍有项目在建，电力产能快速增长；在产煤炭矿井2座，可采储量8.48亿吨；地产业务投资规模较大，需关注去化压力；目前拟投资的航空产业板块投资金额大，周期长，未来存在一定不确定性。18年底斥资2.94亿收购大商道商品交易市场35%的股权，需关注后续效益。,公司资产规模较大，财务杠杆较高；贸易拉动下，收入规模较大，但营业利润主要来自投资收益；重组后，规划投资规模很大，未来资金压力较大。,过剩产能行业、投资压力、环保压力。
大连港股份有限公司,AAA 展望:稳定,中诚信证券评估有限公司,大连港集团有限公司(持股41.18%),海港与服务,地方国有企业,4/10,产业,国企A+H股上市公司，东北最大的港口企业，财务状况一般，目前辽宁的港口整合有利于提升公司信用资质，但该事宜仍存不确定性。,,港口,港口行业系周期性行业，目前宏观经济下行以及中美贸易战均对我国港口行业造成一定负面影响。,国企A+H股上市公司，截止目前辽宁省国资委仍为公司实际控制人，但辽宁省港口正在整合，后续有望变更实际控制人。,公司系东北地区最大的码头运营商，2016年公司在我国港口中吞吐量排名第七。2015-2017年公司营业收入分别为88.86亿元、128.14亿元、90.32亿元，净利润分别为5.69亿元、6.13亿元、5.74亿元。2017年辽宁省港口整合工作取得了重大进展，但目前仍未最终落定，后续若能顺利落定，有望进一步改善公司信用资质。,公司目前负债率适中，利润水平和经营净现金流水平对有息债务覆盖度一般。2017年公司审计报告被审计机构出具了保留意见，财务质量存有一定瑕疵。另外，公司短期债务占比较高，短期债务压力大。,辽宁港口的整合进展；短期债务压力，经济下行对公司经营和财务的影响。
福建省冶金(控股)有限责任公司,AAA 展望:稳定,上海新世纪资信评估投资服务有限公司,福建省人民政府国有资产监督管理委员会(持股100%),金属非金属,地方国有企业,4/10,产业,福建省重要国企，17年以来业绩改善明显，母公司债务规模较小，债券安全性较高。,,工业金属,随着宏观经济恢复、 下游行业发展以及强有力的供给侧改革政策实施， 钢材、 钨钼产品价格上涨，近年相关行业经营业绩有所改善。,非上市公司，福建省国资委持有公司100%的股份，公司股东背景较强。公司旗下的上市公司平台有三钢闽光和厦门钨业。,公司是福建省最大的钢铁企业， 铁、钢、材产业链完整，主要经营主体包括三钢集团、厦门钨业和南平铝业等。其中三钢集团为福建省钢铁龙头企业；厦门钨业是国务院、工信部确定的全国六大稀土集团之一，是福建省稀土资源整合平台企业，拥有从钨和稀土矿山开发、冶炼（分离）、深加工到二次资源回收的完整产业链；南平铝业拥有电解铝、铝铸造、铝型材、铝板带、铝材工程等较为完整的铝产业链企业，具有一定的规模优势。2017年以来随着行业环境的改善，公司经营业绩改善明显，2016-2019年6月，营业收入分别为435.82亿元，718.04亿元830.89亿元、393.04亿元，净利润分别为8.7亿元，68.46亿元和74.68亿元、27.56亿元。,截至19年6月末，母公司总负债仅19.85亿元，负债绝对规模很小，公司持有的下属子公司股权质量尚可，能对母公司债务偿付提供较好保障。但19年3月末，母公司对内担保128亿元，但担保的对象主要为三家关键的子公司，代偿风险可控。母公司19年3月末公司对外担保对象为福建省国有资产管理有限公司和福建三钢小蕉实业发展有限公司，担保余额为14.95亿元，需关注可能的代偿风险。,铁矿石价格波动；资本支出压力；对内担保的代偿风险。
佛山市燃气集团股份有限公司,AA+ 展望:稳定,联合资信评估有限公司,佛山市气业集团有限公司(持股42.16%),燃气,地方国有企业,4/10,产业,公司为佛山燃气供应企业，规模不大，但经营稳定，企业性质为国有上市公司，具有较好市场认可度。,,燃气,伴随着环保驱动下的能源消费结构调整和2016年国际原油价格复苏，天然气的清洁性及经济性优势开始显现，我国天然气消费需求增速近年来明显提升。,公司为上市国企（股票代码：佛燃股份002911.SZ），截至2019年6月底，公司注册资本5.56亿元，控股股东为佛山市气业集团有限公司，持股比例为42.16%。佛山市公用事业控股有限公司持有气业集团100%股权，为公司的间接控股股东。佛山市国资委持有公控公司100%股权，为公司的实际控制人。,公司业务区域相对较小，整体规模不大，但经营稳健。公司拥有佛山市禅城、顺德、三水、高明等4个区的管道燃气特许经营权；截至2018年底，公司在佛山市辖区内及其他业务区域内为75万余户居民用户、1000余户工业用户提供管道天然气服务，已建成并投入使用的城市燃气管道长度共计2165公里。公司拥有城市供气门站6座和市内调压站13座，服务面积9704平方公里。公司主要通过中石油、中海油气电和广东大鹏三家采购天然气。,公司资产规模较小，资产流动性很弱：截至2019年6月末，公司总资产为59亿，净资产31亿；账面固定资产占比较大；整体债务规模较小，债务负担不大：资产负债率为48%。受能源消费结构调整影响，公司营收波动增长，但净利润稳定。公司收入实现质量好，经营性现金流持续净流入；受上市募集资金影响，公司筹资性净现金流有所波动。公司间接融资渠道畅通。,燃气价格、供应安全
中证信用增进股份有限公司,AAA 展望:稳定,大公国际资信评估有限公司,珠海横琴中科白云中证股权投资合伙企业(有限合伙)(持股4.88%),特殊金融服务,其他企业,4/10,产业,-,,,-,-,-,-,-
江西省出版集团公司,AAA 展望:稳定,大公国际资信评估有限公司,江西省政府(持股100%),出版,地方国有企业,4/10,产业,-,,文化传媒,-,-,-,-,-
安徽出版集团有限责任公司,AA+ 展望:稳定,中诚信国际信用评级有限责任公司,安徽省人民政府(持股100%),出版,地方国有企业,4/10,产业,地方国企，整体资质一般，部分业务具有区域垄断性，风险可控,,文化传媒,出版行业，文化产业，政策环境良好；但近年来持续受到新兴媒体的冲击，长期面临转型升级压力；,安徽省国资委，外部支持较强,下属时代传媒为上市公司，持股57%。以出版和贸易为主业，根据国家新闻出版广电总局发布的《2014年我国新闻出版产业分析报告》中，公司总体经济规模第七，中小学教材教辅在安徽省市场占有率达70%以上，区域专营优势明显。贸易业务由华文经贸经营，以电子产品、纸浆、文化产品、休闲用品、纺织服装等为主。,公司主业基本稳定，不过商贸业务拉低了整体毛利率；公司债务规模持续增加，但整体利润规模未出现增长，整体偿债能力有所下降，18年末全部债务是ebitda的9倍以上，自身偿债压力偏重。好在公司外部未使用授信很多，持有的华安证券股权变现能力较好，外部流动性相对充裕。截止2018年底，负债率61.23%，略有上升，偿债能力指标表现稳定。整体风险可控。,传统出版行业转型风险；
陕西省天然气股份有限公司,AA+ 展望:稳定,大公国际资信评估有限公司,陕西燃气集团有限公司(持股55.36%),石油与天然气的储存和运输,地方国有企业,4/10,产业,-,,燃气,-,-,-,-,-
中国有色矿业集团有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,国资委(持股100%),金属非金属,中央国有企业,4/10,产业,有色行业央企，永续票据且私募，建议溢价保护。,,黑色及有色,近两年来，受到主要有色金属产品价格大幅波动、行业竞争日趋激烈、冶炼产能过剩等多项因素的影响，有色金属工业企业的盈利空间受到挤压，实现利润同比增幅低于全国规模以上工业企业实现利润平均增幅；,央企背景，公司旗下上市公司及持股比例为：中色股份（000758.SZ），持股33.75%；东方钽业（000962.SZ），持股45.8%；中国有色（8306.HK），持股74.52%；大冶有色（00661），持股66.85%。,公司核心业务为有色金属资源采选冶炼、建筑工程和相关贸易及服务，公司建筑工程业务中国际业务主要集中在非洲、东南亚、中亚及中东等地区，国内则业务涵盖冶炼、电力、建材、化工、煤炭等多个领域，历史经验丰富，有一定竞争力；贸易业务主要包括国内矿产品贸易、进出口矿产品贸易和矿山配套机电产品销售三大部分。与国内其它两家国有综合性大型有色矿业集团五矿和中冶相比，公司资产规模还有较大差距，但在海外矿产资源获取上具有较大优势。截至17年末境内外共保有重有色金属资源量约1700万吨，贵金属共2387吨，铝土矿1.6亿吨，铁矿石约3019万吨。关注海外风险。,受益于16年以来行业回暖，公司盈利持续改善，17年EBITDA达到历史高点的70亿以上。18年9月末，公司资产负债率维持在68.01%，若考虑永续条款负债率攀升至70%左右；未使用授信超过1000亿，信用情况良好。,有色行业价格波动大；海外业务有一定政治风险；
中国水利水电第五工程局有限公司,AA+ 展望:稳定,上海新世纪资信评估投资服务有限公司,中国电力建设股份有限公司(持股100%),建筑与工程,中央国有企业,4/10,产业,-,,建筑工程,-,-,-,-,-
天津港股份有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,显创投资有限公司(持股56.81%),海港与服务,地方国有企业,4/10,产业,-,,港口,-,-,-,-,-
物产中大集团股份有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,浙江省国有资本运营有限公司(持股30.78%),贸易公司与工业品经销商,地方国有企业,4/10,产业,公司钢材、汽车、煤炭、化工销售实物量在浙江省内份额最大，行业地位突出，外部支持力度较强，短期风险较小。,,贸易,集团所属钢铁业务板块收入占比较大，受钢铁及钢贸行业的波动影响较为明显。,浙江省国资委控股的上市公司，外部支持能力尚可。,公司钢材、汽车、煤炭、化工销售实物量在浙江省内份额最大，行业地位突出。其中钢贸销量达到2755万吨左右，化工产品销量560万吨；汽车销售基本涵盖了国内所有主流品牌；公司未来计划将金融、医疗、环保能源等作为核心主业，关注进展情况。,公司主业稳步发展，盈利保持稳定。债务规模偏大，债务压力仍偏重（19年3月末负债率69%）。公司作为贸易企业，依赖高周转模式，短期流动性压力较大。好在外部授信还算充裕，能提供一定流动性支持。,钢材、煤炭行业价格下行风险。
上海徐家汇商城(集团)有限公司,AA+ 展望:稳定,上海新世纪资信评估投资服务有限公司,上海市徐汇区国有资产监督管理委员会(持股100%),百货商店,地方国有企业,4/10,产业,-,,一般零售,-,-,-,-,-
厦门建发集团有限公司,AAA 展望:稳定,中诚信证券评估有限公司,厦门市人民政府国有资产监督管理委员会(持股100%),多领域控股,地方国有企业,4/10,产业,公司是厦门市最重要的国有资本运营平台，经营能力尚可，财务风险可控，整体资质尚可,,贸易,外贸行业受宏观经济和国际政策氛围影响较大，一方面我国产品的技术含量在提高，另一方面随着国内部分生产要素价格的升高部分外贸产品的竞争力有所下降；地产限购、限贷、限涨政策的实时加大了地产行业销售的不确定性和再融资风险；,厦门市国资委全资企业，控股上市公司建发股东，获得外部支持可能性高,公司是厦门市最重要的国有资本运营平台，下辖厦门建发股份、厦门旅游集团、厦门国际会展公司等，参股厦门航空、厦门国际银行和厦门国际信托等。公司主营供应链运营和房地产开发业务，其中供应链业务借助厦门港口优势，可以实现钢铁、农产品、矿产品、汽车等多元化产品的贸易，总体经营稳定；地产业务主要分布于上海、长沙、成都、福建等二三线城市，且具有一定的规模优势和行业地位。整体经营风险可控。,供应链运营和房地产开发业务对资金的需求均比较旺盛，造成公司负债率偏高，存在一定的即期风险敞口。总体财务风险可控,地产行业政策、公司供应链运营业务上下游经营情况
中国水利水电第四工程局有限公司,AA+ 展望:稳定,上海新世纪资信评估投资服务有限公司,中国电力建设股份有限公司(持股100%),建筑与工程,中央国有企业,4/10,产业,-,,建筑工程,-,-,-,-,-
中交第三航务工程局有限公司,AAA 展望:稳定,上海新世纪资信评估投资服务有限公司,中国交通建设股份有限公司(持股100%),建筑与工程,中央国有企业,4/10,产业,公司为央企子公司，建筑专业领域资质较好，但需关注建筑行业整体资金压力和债务风险情况。,,建筑工程,地产以及基建行业下滑，建筑行业承压；需关注涉及PPP以及BT项目的建筑企业资金回款压力。,公司为央企子公司，为中国交建（1800HK/601800SH）旗下重要子公司，实际控制人国资委。,公司主业隶属港口工程建筑业，以基建施工业务为主，工程建筑资质较好，从事各类港 口与航道、公路、铁路、桥梁、市政等建造工程，并涉及BT和PPP等投资类业务；业务区域遍布全国，近年随着各业务板块规模稳步增长，盈利能力进一步提高。截至2019年3月末，公司在手未完工合同总额732.07亿元；2015年以来新签投资合同全部为PPP项目；海外项目合同总金额约98.02亿元，占同期末在手合同额的13.34%，分布在东南亚、非洲和拉美地区，项目存在海外风险。,公司财务规模尚可，财务杠杆秉承建筑行业特征，19年3月末负债率81%，负债水平较高，资金压力很大。关注PPP以及BT项目资金占用和回款情况。,债务压力
中国建筑第三工程局有限公司,AAA 展望:稳定,中诚信国际信用评级有限责任公司,中国建筑股份有限公司(持股100%),建筑与工程,中央国有企业,4/10,产业,竞争优势比较突出、规模较大的产业公司，受不利经济环境影响较小，建议按AAA-曲线定价，同时结合资金面。,,建筑工程,建筑行业竞争激烈，垫资经营特征明显。,实际控制方为央企中国建筑，具有一定支持意愿。,公司房建业务承揽能力很强，同时具有市政公用工程施工总承包特级资质，业绩向好，地产业务项目主要集中于湖北省，拿地风格较审慎，整体风险可控。,杠杆水平位于高位，但有息债务规模压力不大。,投资类项目回款
深圳市招商平安资产管理有限责任公司,-,-,深圳市招融投资控股有限公司(持股51%),其他多元金融服务,中央国有企业,4/10,产业,-,,,-,-,-,-,-
江苏新华报业传媒集团有限公司,AA+ 展望:稳定,中诚信国际信用评级有限责任公司,江苏省人民政府(持股100%),出版,地方国有企业,4/10,产业,-,,文化传媒,-,-,-,-,-
